orig,stand
shew,show
capt,captain
doth,does
com,come
aud,and
despatch,dispatch
cwt,cat
haue,have
shewn,shown
expence,expense
publick,public
spake,spoke
ofthe,of the
sed,said
drawingroom,drawing room
tyme,time
attorneygeneral,attorney general
vnto,unto
halfyear,half year
firstclass,first class
majorgeneral,major general
antient,ancient
fulness,fullness
hindoo,hindu
anglosaxon,anglo saxon
vpon,upon
governorgeneral,governor general
shakspere,shakespeare
shal,shall
lieutenantcolonel,lieutenant colonel
indiarubber,india rubber
lastmentioned,last mentioned
oldfashioned,old fashioned
postoffice,post office
halfyearly,half yearly
sayd,said
buonaparte,bonaparte
evry,every
vicepresident,vice president
maketh,makes
mee,me
loue,love
rentcharge,rent charge
ofiice,office
suflicient,sufficient
vertue,virtue
dwellinghouse,dwelling house
loth,loath
havo,have
publichouse,public house
chancerylane,chancery lane
vith,with
wellbeing,well being
newcastleontyne,newcastle
hamburgh,hamburg
neuer,never
kyng,king
merchandize,merchandise
lieutenantgeneral,lieutenant general
som,some
courtmartial,court martial
steamengine,steam engine
giveth,gives
oflicer,officer
chuse,choose
dulness,dullness
plaintifi,plaintiff
euery,every
purchasemoney,purchase money
subjectmatter,subject matter
difliculty,difficulty
twentyfive,twenty five
sufiicient,sufficient
whic,which
villiam,william
oxfordstreet,oxford street
euer,ever
mony,money
controul,control
amendt,amend
selfdenial,self denial
therfore,therefore
postmortem,post mortem
intitled,entitled
plaintifl,plaintiff
solicitorgeneral,solicitor general
burmah,burma
followeth,follows
regentstreet,regent street
enterprize,enterprise
eoman,woman
balancesheet,balance sheet
almanack,almanac
launcelot,lancelot
taketh,takes
jewellery,jewelry
vnder,under
negociation,negotiation
mordaunt,mordant
goeth,goes
crossexamination,cross examination
maister,master
uppon,upon
ofiicer,officer
kynge,king
thei,they
diflicult,difficult
sayde,said
giue,give
highpressure,high pressure
paternosterrow,paternoster
byng,bing
ouer,over
strype,stripe
leipsic,leipzig
lieutenantgovernor,lieutenant governor
speke,speak
councell,council
thiers,theirs
difiiculty,difficulty
byelaw,bylaw
entred,entered
speaketh,speaks
countrey,country
seemeth,seems
lyme,lime
itm,item
statesgeneral,states general
liveth,lives
surprize,surprise
selfacting,self acting
iohn,john
mayne,main
postmastergeneral,postmaster general
recompence,recompense
selfgovernment,self government
therof,thereof
appeareth,appears
whome,whom
willd,willed
alledged,alleged
wyll,will
euen,even
compleat,complete
legge,leg
catholick,catholic
westm,westminster
loveth,loves
lordlieutenant,lord lieutenant
sealevel,sea level
shuld,should
myn,mine
hould,hold
reflexion,reflection
sinne,sin
lyke,like
tennant,tenant
ablebodied,able bodied
britton,briton
worketh,works
thame,thames
oflicial,official
doćtrine,doctrine
lettres,letters
longcontinued,long continued
objectglass,object glass
strutt,strut
sittingroom,sitting room
thair,their
wth,with
halfanhour,halfhour
wyth,with
emperour,emperor
crossexamined,cross examined
governour,governor
intirely,entirely
plac,place
selfevident,self evident
verandah,veranda
wyse,wise
howse,house
whyte,white
surprized,surprised
