lemma,correct_spelling
tiie,the
iie,he
iio,ho
tii,th
aii,ah
maii,mah
iia,ha
sii,sh
raii,rah
tiiat,that
iiy,hy
iiu,hu
witii,with
iion,hon
joiin,john
iiouse,house
wiii,whi
iier,her
iienry,henry
tiiis,this
tiio,tho
wiiich,which
eii,eh
tiiey,they
tiii,thi
iiow,how
ciiap,chap
iiistory,history
thc,the
fcs,fe
lic,lie
cer,eer
linc,line
suc,sue
hoc,hoe
anc,ane
bcl,bel
fcc,fee
sce,see
cu,eu
tunc,tune
cre,ere
lecky,leeky
cm,em
clt,elt
adc,ade
rence,renee
visc,viscount
carth,carthage
nce,nee
isc,ise
fomc,fome
becn,been
chc,che
nacl,nael
sca,sea
dic,die
recd,record
clk,elk
scw,sew
pcr,per
fect,feet
ifc,ife
asc,ase
decd,decade
bcd,bed
lyc,lye
clene,elene
carn,earn
thcy,they
cll,ell
thcir,their
lcc,lee
macc,mace
coc,coe
cra,era
cyc,eye
thce,you
secker,seeker
acct,account
acd,aed
tyc,tye
lec,lee
cke,eke
hcr,her
tcd,ted
rac,rae
fcr,fer
desc,dese
picta,pieta
scc,sec
sct,set
thcm,them
lincs,line
darc,dare
carthy,earthy
crie,erie
cvery,every
frce,free
lence,lenee
sclm,selm
rch,reh
bcen,been
scal,seal
trc,tre
ancle,anele
insc,inse
toc,toe
rcs,re
marck,mark
ic,ie
noc,noe
ocr,oer
pcc,pee
mcn,men
whcc,whee
thcre,there
fct,fet
herc,here
wisc,wise
huc,hue
clf,elf
clm,elm
nac,nae
folc,fole
scabra,seabra
fcb,feb
cs,e
hci,hei
mcl,mel
lcm,lem
lct,let
cme,eme
dac,dae
tuc,tue
lcn,len
lch,leh
bcing,being
poc,poe
scp,sep
cde,ede
ancl,anel
astracan,astraean
bcr,ber
florac,flora
scpt,sept
cft,eft
ramc,rame
cels,eel
cnd,end
vcry,very
dc,de
fecl,feel
vinca,vinea
cver,ever
bca,bea
thec,you
fol,sol
fuch,such
thefe,these
thofe,those
faid,said
firft,first
moft,most
muft,must
againft,against
cafe,case
fcap,scap
alfo,also
fhall,shall
fhould,should
houfe,house
laft,last
himfelf,himself
fince,since
prefent,present
ufe,use
majefty,majesty
becaufe,because
perfon,person
reafon,reason
whofe,whose
fhe,she
fmall,small
fal,sal
ftill,still
chrift,christ
caufe,cause
foon,soon
beft,best
fait,sait
leaft,least
fecond,second
fuit,suit
juft,just
thoufand,thousand
ftate,state
ufed,used
defire,desire
ifland,island
juftice,justice
purpofe,purpose
fane,sane
feen,seen
eftate,estate
emf,em
anfwer,answer
fea,sea
faw,saw
occafion,occasion
courfe,course
mafter,master
fituation,situation
intereft,interest
almoft,almost
likewife,likewise
fense,sense
hiftory,history
itfelf,itself
defign,design
filver,silver
fingle,single
fpirit,spirit
wolff,wolf
eaft,east
queftion,question
ftrong,strong
pleafure,pleasure
feem,seem
fenfe,sense
faber,saber
diftance,distance
fufficient,sufficient
fervice,service
englifh,english
horfe,horse
confequence,consequence
chriftian,christian
efpecially,especially
fpeak,speak
bifhop,bishop
fere,sere
otherwife,otherwise
felf,self
dif,dis
fuppofed,supposed
defired,desired
ftand,stand
coaft,coast
feven,seven
fure,sure
myfelf,myself
fhort,short
eafily,easily
ferve,serve
amongft,amongst
clofe,close
meafure,measure
truft,trust
fuppofe,suppose
fupport,support
fimilar,similar
fomething,something
aforefaid,aforesaid
caftle,castle
fingular,singular
inftead,instead
neceffary,necessary
falfe,FALSE
fimple,simple
obferve,observe
notwithftanding,notwithstanding
fing,sing
ift,ist
cuftom,custom
perf,pers
paft,past
refolved,resolved
lyfe,life
fituated,situated
fize,size
caft,cast
minifter,minister
facred,sacred
jefus,jesus
ftrength,strength
whilft,while
befides,besides
inftance,instance
wifdom,wisdom
eafy,easy
ftone,stone
ufual,usual
conftitution,constitution
defcription,description
pleafe,please
pleafed,pleased
fociety,society
difcovered,discovered
gofpel,gospel
confequently,consequently
confent,consent
praife,praise
fuffer,suffer
fomewhat,somewhat
filence,silence
vaft,vast
perfons,person
filent,silent
univerfal,universal
wif,wi
fuperior,superior
refolution,resolution
mofl,mosl
fcarce,scarce
stafi,stasi
ufually,usually
fave,save
increafe,increase
fupply,supply
underftood,understood
utmoft,utmost
diftant,distant
breaft,breast
exercife,exercise
ufeful,useful
fecret,secret
prefence,presence
fiege,siege
fah,sah
higheft,highest
fweet,sweet
poffible,possible
converfation,conversation
ftatute,statute
figh,sigh
fhip,ship
fift,fist
verfe,verse
fixth,sixth
honeft,honest
oppofite,opposite
heref,here
circumftance,circumstance
fquare,square
fpace,space
fixty,sixty
chofen,chosen
promife,promise
britifh,british
fpring,spring
fubject,subject
compofed,composed
feldom,seldom
faft,fast
taff,tass
laf,la
furface,surface
juftly,justly
fus,sus
confcience,conscience
ftrange,strange
difcourfe,discourse
underftand,understand
hufband,husband
difpofition,disposition
auguft,august
bafe,base
fenfible,sensible
neceffity,necessity
eafe,ease
fpeaking,speaking
fecurity,security
feafon,season
fecure,secure
affe,asse
fia,sia
oppofition,opposition
lordfhip,lordship
pleafant,pleasant
senfe,sense
fign,sign
lofe,lose
difcover,discover
conftant,constant
prieft,priest
fervant,servant
fixt,fixed
fufficiently,sufficiently
perfonal,personal
arife,arise
preferve,preserve
rofe,rose
parifh,parish
defirous,desirous
prifoner,prisoner
wifh,wish
fixteen,sixteen
obfervation,observation
worfe,worse
fword,sword
deftroy,destroy
whatfoever,whatsoever
reafonable,reasonable
fcene,scene
filk,silk
foft,soft
fung,sung
herfelf,herself
divifion,division
lyf,lys
extenfive,extensive
difcovery,discovery
pleafing,pleasing
fep,sep
ifl,isl
fyftem,system
fafety,safety
underftanding,understanding
ifle,isle
adminiftration,administration
ftood,stood
prifon,prison
vifit,visit
unlefs,unless
paffage,passage
ftay,stay
fatisfied,satisfied
afia,asia
poft,post
abfolutely,absolutely
defigned,designed
expofed,exposed
purchafe,purchase
refidence,residence
mifs,miss
fovereign,sovereign
furely,surely
fion,sion
fyre,syre
refpect,respect
efteem,esteem
folemn,solemn
wyf,wy
fudden,sudden
fyne,syne
commiffion,commission
fummer,summer
abfolute,absolute
fpot,spot
fcarcely,scarcely
blesfing,blessing
requeft,request
fpoken,spoken
fifter,sister
eldeft,eldest
inftant,instant
fpread,spread
afide,aside
feparate,separate
inftrument,instrument
fpiritual,spiritual
fpeech,speech
paffion,passion
folid,solid
conftantly,constantly
faved,saved
juftices,justice
philofophy,philosophy
confufion,confusion
fhore,shore
teftimony,testimony
garrifon,garrison
induftry,industry
worfhip,worship
feek,seek
ftory,story
fincere,sincere
ftyle,style
archbifhop,archbishop
difpofed,disposed
impoffible,impossible
ftands,stand
fpent,spent
conclufion,conclusion
fentence,sentence
efcape,escape
compofition,composition
prefident,president
ferious,serious
chriftianity,christianity
univerfity,university
prefently,presently
miniftry,ministry
treafon,treason
furrounded,surrounded
frefh,fresh
fpoke,spoke
mufic,music
ftanding,standing
fubftance,substance
fla,sla
jofeph,joseph
affiftance,assistance
conqueft,conquest
fye,sye
forrow,sorrow
flefh,flesh
laftly,lastly
miftake,mistake
fometimes,sometimes
provifion,provision
fimplicity,simplicity
miferable,miserable
difcharge,discharge
eftablifhed,established
cuftody,custody
fignal,signal
ftated,stated
fleep,sleep
efter,ester
noife,noise
teftator,testator
ftrongly,strongly
apoftle,apostle
mifery,misery
ifa,isa
univerfally,universally
difpute,dispute
foreft,forest
themfelves,themselves
luft,lust
fifh,fish
fower,sower
aftern,astern
minifters,minister
falvation,salvation
vifible,visible
handfome,handsome
fale,sale
ftudy,study
crofs,cross
difeafe,disease
faut,saut
treatife,treatise
hofpital,hospital
fpecial,special
iffue,issue
proteftant,protestant
midft,midst
fundry,sundry
fai,sai
curiofity,curiosity
treafurer,treasurer
infide,inside
mofes,moses
punifhment,punishment
yourfelf,yourself
ifrael,israel
counfel,counsel
iflands,island
fource,source
teftament,testament
fignify,signify
feaft,feast
fcience,science
poffibly,possibly
exiftence,existence
facrifice,sacrifice
infcription,inscription
fmaller,smaller
spanifh,spanish
ghoft,ghost
pofition,position
fatisfaction,satisfaction
