word,count
crane,51
electr,42
weight,37
rope,27
cost,27
water,25
machin,24
coal,23
iron,22
steel,21
pile,21
tool,19
portabl,18
work,18
steam,17
block,17
bridg,16
hand,16
materi,16
speed,14
effici,14
light,14
stone,13
system,13
build,13
girder,13
fix,13
variou,12
gaug,12
locomot,12
float,11
price,11
metal,11
storag,11
store,11
strength,11
grab,11
pave,11
dock,10
pipe,10
chain,10
differ,10
oil,10
capac,9
construct,9
marbl,9
road,9
wagon,9
elev,9
navi,9
test,9
apparatu,8
measur,8
rail,8
tip,8
driver,8
boat,8
pump,8
screw,8
line,8
erect,8
boiler,8
wrought,7
gear,7
coinag,7
roof,7
engin,6
equip,6
wire,6
axl,6
excav,6
mill,6
part,6
air,6
equival,6
wheel,6
bucket,6
fuel,6
load,6
joist,6
lamp,6
bore,6
suppli,6
cast,6
roll,6
mainten,6
drill,5
narrow,5
jetti,5
yard,5
barg,5
standard,5
quarri,5
stock,4
ore,4
discharg,4
patent,4
jack,4
harbour,4
tabl,4
labour,4
transport,4
area,4
way,4
anim,4
winch,4
ship,4
side,4
make,4
pier,4
rivet,4
rock,4
cut,4
sheet,4
requir,4
saw,4
miner,4
decim,4
carri,4
carpent,4
seamless,4
proport,4
feed,3
travers,3
veloc,3
floor,3
properti,3
moor,3
wood,3
ladder,3
transmit,3
timber,3
grain,3
main,3
haul,3
hemp,3
lubric,3
ice,3
ironwork,3
set,3
shoot,3
fenc,3
level,3
compar,3
calcul,3
buoy,3
arc,3
comparison,3
box,3
distil,3
clean,3
dipper,3
ballast,3
blacksmith,3
creeper,3
economi,3
angl,3
chill,3
expens,3
cement,3
